CURSO,GENERO,TIPO,CAMPUS,GPA,IGS
2009-2010,Femenino,Publica,AGUADILLA,4,324
2012-2013,Femenino,Publica,AGUADILLA,4,316
2010-2011,Femenino,Publica,UTUADO,3.09,209
2013-2014,Masculino,Privada,RUM,3.13,295
2013-2014,Masculino,Publica,ARECIBO,2.84,253
2013-2014,Femenino,Privada,RIOPIEDRAS,3.74,333
2011-2012,Masculino,Publica,AGUADILLA,3.41,269
2011-2012,Femenino,Publica,AGUADILLA,4,296
2011-2012,Femenino,Publica,RUM,3.85,263
2013-2014,Femenino,Publica,RUM,4,291
2009-2010,Femenino,Privada,CAYEY,3.91,322
2010-2011,Femenino,Privada,RUM,3.92,339
2009-2010,Femenino,Privada,RUM,3.33,300
2011-2012,Femenino,Publica,RUM,3.85,337
2010-2011,Masculino,Publica,HUMACAO,3.88,334
2009-2010,Femenino,Privada,RIOPIEDRAS,3.69,323
2011-2012,Masculino,Privada,RUM,2.94,253
2010-2011,Femenino,Publica,RUM,3.85,339
2013-2014,Femenino,Publica,UTUADO,3.19,231
2010-2011,Femenino,Privada,RUM,3.53,327
2011-2012,Masculino,Privada,RUM,3.87,333
2011-2012,Femenino,Privada,CAROLINA,3.1,279
2010-2011,Masculino,Privada,BAYAMON,3.27,272
2011-2012,Masculino,Publica,RUM,3.83,318
2011-2012,Femenino,Privada,AGUADILLA,2.7,265
2009-2010,Femenino,Privada,RUM,3.75,304
2012-2013,Masculino,Privada,HUMACAO,3.97,296
2013-2014,Femenino,Privada,PONCE,2.94,248
2012-2013,Masculino,Privada,RIOPIEDRAS,4,324
2010-2011,Femenino,Publica,AGUADILLA,3.53,253
2011-2012,Masculino,Privada,RUM,3.87,333
2013-2014,Masculino,Publica,UTUADO,2.77,213
2012-2013,Femenino,Publica,PONCE,3.83,335
2012-2013,Masculino,Publica,PONCE,3.67,289
2009-2010,Femenino,Privada,ARECIBO,3.94,337
2012-2013,Femenino,Privada,CAYEY,3.53,296
2010-2011,Masculino,Privada,BAYAMON,2.92,276
2009-2010,Masculino,Privada,BAYAMON,3.51,347
2009-2010,Femenino,Publica,RIOPIEDRAS,3.35,295
2011-2012,Femenino,Publica,UTUADO,3.49,254
2011-2012,Masculino,Publica,BAYAMON,4,366
2009-2010,Femenino,Privada,ARECIBO,4,345
2012-2013,Masculino,Privada,RUM,3.84,355
2011-2012,Femenino,Privada,CAROLINA,3.15,293
2010-2011,Masculino,Privada,RUM,3.47,346
2013-2014,Masculino,Privada,RUM,3.77,328
2009-2010,Masculino,Publica,RUM,4,335
2010-2011,Masculino,Privada,RIOPIEDRAS,2.74,282
2010-2011,Masculino,Privada,RUM,3.13,327
2012-2013,Masculino,Privada,RIOPIEDRAS,4,358
2013-2014,Masculino,Privada,CAYEY,3.64,319
2012-2013,Femenino,Privada,BAYAMON,3.77,277
2009-2010,Femenino,Privada,RUM,3.76,315
2013-2014,Femenino,Privada,HUMACAO,4,286
2013-2014,Masculino,Privada,RUM,3.91,341
2011-2012,Femenino,Privada,RIOPIEDRAS,3.8,341
2010-2011,Femenino,Publica,RUM,3.22,249
2013-2014,Masculino,Publica,RUM,3.63,296
2010-2011,Masculino,Privada,RUM,3.59,314
2013-2014,Femenino,Privada,RUM,3.69,312
2011-2012,Femenino,Privada,PONCE,3.68,269
2013-2014,Femenino,Publica,AGUADILLA,3.65,304
2009-2010,Masculino,Privada,RIOPIEDRAS,4,334
2009-2010,Femenino,Publica,PONCE,3.83,312
2010-2011,Femenino,Privada,UTUADO,2.54,219
2010-2011,Femenino,Privada,RUM,4,341
2013-2014,Masculino,Privada,RUM,4,362
2010-2011,Femenino,Privada,RUM,4,341
2013-2014,Masculino,Publica,RUM,3.38,290
2011-2012,Femenino,Privada,RUM,3.8,341
2012-2013,Femenino,Privada,RUM,3.86,315
2013-2014,Masculino,Publica,RUM,3.38,290
2013-2014,Femenino,Publica,PONCE,3.53,265
2009-2010,Masculino,Publica,RUM,3.57,310
2009-2010,Masculino,Publica,CAROLINA,2.23,245
2013-2014,Femenino,Publica,HUMACAO,3.25,266
2011-2012,Femenino,Publica,CAYEY,4,314
2011-2012,Femenino,Publica,RUM,4,344
2013-2014,Femenino,Publica,HUMACAO,4,343
2013-2014,Masculino,Publica,RUM,4,301
2010-2011,Femenino,Publica,BAYAMON,3.67,253
2009-2010,Femenino,Privada,CAROLINA,2.85,263
2010-2011,Masculino,Publica,RUM,3.69,335
2010-2011,Femenino,Publica,HUMACAO,4,323
2010-2011,Masculino,Privada,RIOPIEDRAS,2.9,281
2009-2010,Femenino,Publica,RUM,3.82,328
2013-2014,Femenino,Publica,HUMACAO,4,334
2010-2011,Masculino,Privada,RUM,4,329
2010-2011,Masculino,Publica,UTUADO,1.97,176
2012-2013,Masculino,Privada,HUMACAO,3.3,313
2012-2013,Masculino,Privada,RIOPIEDRAS,3.65,312
2010-2011,Masculino,Privada,RUM,2.9,281
2013-2014,Femenino,Publica,ARECIBO,4,312
2009-2010,Masculino,Publica,RUM,3.13,266
